date,Kent,Unknown,Washington,Bristol,Providence,Newport
06/26/2020,1169,1716,523,247,12712,294
06/27/2020,1169,1716,523,247,12712,294
06/28/2020,1169,1716,523,247,12712,294
06/29/2020,1199,1535,532,253,12937,308
06/30/2020,1199,1584,532,253,12937,308
07/01/2020,1199,1624,532,253,12937,308
07/02/2020,1199,1712,532,253,12937,308
07/03/2020,1234,1488,538,256,13144,331
07/04/2020,1234,1488,538,256,13144,331
07/05/2020,1234,1488,538,256,13144,331
07/06/2020,1234,1488,538,256,13144,331
07/07/2020,1234,1651,538,256,13144,331
07/08/2020,1234,1701,538,256,13144,331
07/09/2020,1234,1740,538,256,13144,331
07/10/2020,1234,1809,538,256,13144,331
