date,Bent,Boulder,Conejos,Crowley,Delta,El Paso,Elbert,Gunnison,Hinsdale,Huerfano,Kit Carson,Larimer,Lincoln,Logan,Mineral,Moffat,Montrose,Otero,Pueblo,San Miguel,Adams,Broomfield,Custer,Douglas,Routt,Yuma,Alamosa,Archuleta,Chaffee,Eagle,Garfield,Grand,Jefferson,Las Animas,Park,Prowers,Rio Grande,Saguache,Teller,Unknown,Weld,Cheyenne,Costilla,Denver,Fremont,Gilpin,Jackson,La Plata,Lake,Mesa,Morgan,Ouray,Phillips,Pitkin,Rio Blanco,San Juan,Summit,Washington,Clear Creek,Montezuma,Baca,Arapahoe
04/08/2020,0,207,0,1,5,472,10,98,1,1,5,167,1,13,2,3,35,4,46,10,417,52,2,244,32,2,5,6,23,374,49,4,610,1,5,0,5,3,12,237,573,0,3,927,4,0,0,34,3,32,23,3,4,39,1,0,56,1,7,8,9,764
04/09/2020,0,217,0,1,6,534,10,99,1,1,6,174,1,13,2,3,38,5,48,11,475,61,2,270,32,2,7,6,26,394,50,4,660,2,5,1,5,3,12,233,614,0,3,1031,5,1,0,37,4,32,44,4,4,39,1,0,57,2,10,8,9,877
04/10/2020,0,234,0,1,6,550,13,101,1,1,6,177,1,13,2,3,38,5,50,11,543,68,2,282,35,2,7,6,27,426,52,4,683,2,6,1,5,3,12,145,649,0,3,1113,5,1,0,44,4,34,51,4,4,47,1,0,61,2,11,12,9,931
04/11/2020,0,246,0,2,6,578,14,102,1,1,7,180,1,13,2,3,50,5,53,12,593,74,2,292,35,2,7,6,28,433,54,4,713,2,6,1,5,3,12,175,683,0,3,1182,6,1,0,43,4,34,56,4,4,49,1,0,68,2,11,11,10,998
04/12/2020,0,264,0,2,6,613,16,101,2,1,8,187,1,13,2,3,57,5,58,12,647,81,2,298,36,2,7,6,28,452,55,4,763,2,6,1,5,3,16,156,738,0,3,1247,7,1,0,44,4,35,59,4,4,49,1,0,68,2,11,12,10,1083
04/13/2020,0,284,0,2,7,641,16,99,2,1,8,193,2,13,2,3,59,5,64,12,693,81,2,304,41,2,7,6,28,457,58,4,787,2,6,1,5,3,15,145,808,0,3,1346,8,1,0,44,4,35,75,4,4,49,1,0,72,2,11,12,10,1142
04/14/2020,0,293,0,2,12,652,17,99,3,1,8,198,2,13,2,3,63,5,64,12,726,88,2,311,41,2,7,6,28,468,59,4,809,2,6,1,5,3,16,110,858,0,3,1402,8,1,0,44,5,35,89,4,4,49,1,0,74,5,11,12,10,1183
04/15/2020,0,300,0,2,12,668,16,104,3,1,8,202,2,13,2,3,65,5,68,12,758,92,2,312,41,2,7,6,31,480,62,4,837,2,6,1,7,3,16,111,928,0,3,1468,9,1,0,46,5,34,103,4,4,51,1,0,76,5,11,12,10,1243
04/16/2020,0,312,0,2,13,689,17,111,3,1,13,217,2,17,2,3,69,5,72,12,805,95,2,329,43,2,7,6,35,479,64,4,860,3,6,1,7,3,17,96,960,0,3,1549,9,1,0,47,8,34,122,4,4,51,1,0,77,5,11,13,10,1342
04/17/2020,0,327,0,2,16,708,20,112,3,1,13,224,3,17,2,3,70,6,78,13,860,98,2,353,46,2,7,6,35,482,65,4,888,3,6,1,7,3,18,78,986,0,3,1636,9,1,0,51,8,34,135,5,5,51,1,0,82,5,11,13,10,1419
