date,Bristol,Hampden,Middlesex,Norfolk,Franklin,Hampshire,Nantucket,Suffolk,Unknown,Barnstable,Worcester,Dukes,Essex,Plymouth,Berkshire
04/12/2020,1327,1647,5660,2649,143,219,9,5359,373,501,2032,12,3170,2024,350
04/13/2020,1394,1694,5983,2838,148,224,9,5579,447,502,2128,12,3413,2141,355
04/14/2020,1435,1798,6254,2969,155,233,9,5872,506,514,2246,11,3594,2207,360
04/15/2020,1508,1885,6681,3122,160,239,9,6279,572,530,2350,11,3894,2308,370
04/16/2020,1605,1985,7206,3342,170,248,9,6820,638,550,2503,12,4245,2466,382
04/17/2020,1659,2134,7744,3499,173,258,9,7272,760,573,2765,12,4584,2577,383
04/18/2020,1698,2254,8297,3659,177,306,9,7696,733,590,2952,14,4914,2688,385
04/19/2020,1731,2337,8737,3789,181,317,9,8074,815,632,3069,14,5153,2832,387
04/20/2020,1779,2438,9253,3960,187,332,9,8314,855,664,3179,14,5296,2976,387
04/21/2020,1852,2533,9621,4062,192,337,9,8669,929,672,3341,14,5521,3043,404
04/22/2020,1908,2678,10094,4212,196,345,9,9060,854,678,3456,14,5783,3253,404
04/23/2020,2181,2836,10724,4541,203,367,9,9739,737,708,3798,14,6219,3529,418
04/24/2020,2697,3060,11681,4979,217,396,9,10724,791,747,4227,15,6841,4160,425
04/25/2020,2829,3229,12253,5172,225,412,9,11218,753,756,4460,15,7212,4380,425
04/26/2020,2923,3295,12648,5288,226,427,10,11543,807,772,4572,15,7489,4495,428
04/27/2020,3068,3381,12953,5398,231,443,10,11883,795,798,4744,15,7708,4607,428
04/28/2020,3270,3546,13417,5567,237,509,11,12140,625,820,4999,15,7972,4744,430
04/29/2020,3429,3698,13799,5700,252,531,11,12539,457,842,5300,16,8380,4871,440
04/30/2020,3580,3777,14208,5896,257,546,11,12890,415,860,5550,17,8673,5083,442
05/01/2020,3792,3900,14607,6065,260,518,11,13295,425,902,5787,18,9028,5259,444
05/02/2020,3916,4003,15048,6187,263,549,11,13606,377,937,6129,18,9362,5409,448
05/03/2020,4019,4066,15370,6280,269,559,11,13777,981,946,6288,21,9542,5507,451
05/04/2020,4103,4114,15757,6382,273,563,11,13941,662,961,6471,21,9773,5602,453
05/05/2020,4235,4203,15980,6466,275,575,11,14173,594,969,6597,21,9979,5736,457
05/06/2020,4380,4321,16327,6610,278,580,12,14476,326,997,6992,22,10344,5899,461
05/07/2020,4529,4441,16676,6729,285,595,11,14732,328,1021,7197,22,10610,6081,464
05/08/2020,4670,4522,17014,6801,289,654,11,14944,297,1038,7410,22,10995,6194,472
05/09/2020,4847,4647,17307,6887,294,659,11,15119,288,1056,7611,23,11211,6311,472
05/10/2020,4931,4714,17589,6952,294,676,11,15279,303,1068,7743,23,11353,6382,475
05/11/2020,4999,4763,17774,7004,296,688,12,15356,287,1075,7818,23,11432,6457,478
05/12/2020,5125,4831,17953,7046,297,702,12,15454,273,1093,7959,23,11572,6507,485
05/13/2020,5249,4889,18201,7129,302,708,12,15587,264,1111,8241,23,11703,6592,486
05/14/2020,5440,4974,18381,7258,302,724,12,15881,300,1119,8555,24,11950,6774,488
05/15/2020,5590,5038,18683,7331,304,738,12,15996,285,1137,8786,24,12131,6875,491
05/16/2020,5748,5133,18883,7412,304,751,12,16346,309,1147,9067,25,12314,6987,495
05/17/2020,5870,5205,19129,7474,308,767,12,16479,315,1150,9252,26,12462,7064,497
05/18/2020,5996,5264,19345,7524,308,774,12,16671,312,1155,9442,26,12587,7139,497
05/19/2020,6080,5335,19504,7565,308,780,12,16825,288,1177,9582,26,12748,7198,497
05/20/2020,6165,5418,19708,7607,309,792,12,16962,294,1197,9780,26,12920,7280,500
05/21/2020,6286,5492,19930,7691,310,806,13,17089,304,1202,9997,26,13063,7366,509
05/22/2020,6362,5568,20085,7724,310,812,13,17180,296,1257,10101,26,13221,7424,510
05/23/2020,6426,5621,20232,7759,312,819,13,17291,319,1264,10251,26,13334,7480,515
05/24/2020,6596,5687,20437,7812,313,830,13,17417,308,1269,10431,26,13457,7559,520
05/25/2020,6681,5755,20539,7844,314,834,13,17480,311,1277,10505,26,13575,7594,523
05/26/2020,6733,5796,20601,7863,315,840,13,17533,297,1280,10557,26,13670,7632,537
05/27/2020,6779,5845,20706,7880,317,843,13,17596,309,1286,10647,26,13778,7656,539
05/28/2020,6852,5878,20857,7919,319,845,13,17698,318,1295,10713,26,13899,7724,539
05/29/2020,6930,5942,20972,7959,319,853,13,17786,289,1303,10816,26,13994,7766,544
05/30/2020,7089,5982,21124,8016,319,855,13,17873,336,1305,10901,26,14099,7819,544
05/31/2020,7159,6035,21287,8079,319,855,13,17936,297,1312,11018,27,14225,7859,544
06/01/2020,7348,6188,22224,8586,335,886,13,18581,340,1424,11352,40,14721,8200,567
06/02/2020,7380,6201,22296,8600,335,883,13,18636,319,1430,11438,41,14795,8228,568
06/03/2020,7453,6237,22403,8613,335,891,13,18733,307,1435,11465,41,14857,8243,566
06/04/2020,7508,6268,22485,8625,337,894,14,18790,310,1443,11529,41,14969,8282,568
06/05/2020,7573,6297,22583,8646,337,900,14,18858,313,1446,11600,42,15064,8313,571
06/06/2020,7635,6337,22686,8689,338,904,13,18955,297,1450,11696,42,15170,8347,573
06/07/2020,7683,6353,22754,8713,338,905,13,19001,292,1456,11732,42,15217,8363,574
06/08/2020,7698,6365,22812,8715,338,907,13,19028,309,1458,11758,42,15236,8372,575
06/09/2020,7728,6380,22845,8753,341,905,13,19067,299,1462,11803,43,15271,8404,575
06/10/2020,7754,6395,22889,8774,344,905,13,19099,297,1467,11820,42,15365,8418,574
06/11/2020,7793,6415,22996,8809,348,913,13,19195,304,1474,11885,42,15465,8440,575
06/12/2020,7872,6431,23075,8842,348,918,13,19249,298,1479,11937,42,15518,8462,575
06/13/2020,7906,6460,23156,8860,353,921,13,19299,307,1486,11961,42,15573,8478,580
06/14/2020,7933,6481,23195,8866,353,924,13,19335,308,1487,11975,42,15604,8507,580
06/15/2020,7925,6489,23227,8872,353,926,13,19334,311,1489,11991,42,15627,8512,579
06/16/2020,7940,6503,23269,8892,353,930,14,19367,307,1494,12014,43,15667,8514,578
06/17/2020,7956,6518,23346,8908,354,936,13,19434,306,1497,12032,44,15703,8522,582
06/18/2020,7979,6537,23407,8935,356,936,13,19477,308,1502,12050,44,15739,8555,584
06/19/2020,8002,6556,23464,8962,357,941,13,19493,296,1508,12085,44,15778,8566,585
06/20/2020,8028,6584,23544,8983,358,943,13,19528,297,1513,12122,44,15817,8576,586
06/21/2020,8035,6598,23574,8994,358,944,13,19551,303,1515,12130,44,15829,8583,590
06/22/2020,8057,6610,23609,9010,358,946,14,19567,300,1517,12143,45,15851,8592,591
06/23/2020,8081,6620,23647,9042,359,947,14,19601,288,1523,12192,45,15885,8604,591
