date,North Slope Borough,Sitka City and Borough,Valdez-Cordova Census Area,Wrangell City and Borough,Aleutians East Borough,Anchorage,Denali Borough,Haines Borough,Ketchikan Gateway Borough,Kusilvak Census Area,Nome Census Area,Prince of Wales-Hyder Census Area,Unknown,Aleutians West Census Area,Northwest Arctic Borough,Bethel Census Area,Bristol Bay Borough,Dillingham Census Area,Fairbanks North Star Borough,Kodiak Island Borough,Lake and Peninsula Borough,Matanuska-Susitna Borough,Petersburg Borough,Southeast Fairbanks Census Area,Yukon-Koyukuk Census Area,Juneau City and Borough,Kenai Peninsula Borough
04/26/2020,0,1,0,0,0,168,0,0,16,0,1,2,0,0,0,1,0,0,80,1,0,20,2,1,1,27,18
04/27/2020,0,1,0,0,0,171,0,0,16,0,1,2,0,0,0,1,0,0,80,1,0,21,2,1,1,27,18
04/28/2020,0,1,0,0,0,175,0,0,16,0,1,2,0,0,0,1,0,0,81,1,0,21,3,1,1,27,18
04/29/2020,0,1,0,0,0,179,0,0,16,0,1,2,0,0,0,1,0,0,81,1,0,21,3,1,1,27,18
04/30/2020,0,1,0,0,0,179,0,0,16,0,1,2,0,0,0,1,0,0,81,1,0,21,3,1,1,27,18
05/01/2020,0,1,0,0,0,185,0,0,16,0,1,2,0,0,0,1,0,0,82,1,0,21,3,1,1,27,20
05/02/2020,0,1,0,0,0,185,0,0,16,0,1,2,0,0,0,1,0,0,83,1,0,21,3,1,1,27,20
05/03/2020,0,1,0,0,0,187,0,0,16,0,1,2,0,0,0,1,0,0,83,1,0,21,3,1,1,27,21
05/04/2020,0,1,0,0,0,189,0,0,16,0,1,2,0,0,0,1,0,0,83,1,0,21,3,1,1,27,21
05/05/2020,0,1,0,0,0,190,0,0,16,0,1,2,0,0,0,1,0,0,83,1,0,21,3,1,1,27,21
05/06/2020,0,1,0,0,0,190,0,0,16,0,1,2,0,0,0,1,0,0,83,1,0,21,3,2,1,27,21
05/07/2020,0,1,1,0,0,191,0,0,16,0,1,2,0,0,0,1,0,0,83,1,0,21,3,2,1,27,22
05/08/2020,0,1,1,0,0,194,0,0,16,0,1,2,0,0,0,1,0,0,83,1,0,21,3,2,1,27,22
05/09/2020,0,1,1,0,0,194,0,0,16,0,1,2,0,0,0,1,0,0,83,1,0,21,3,2,1,27,23
05/10/2020,0,1,1,0,0,194,0,0,16,0,1,2,0,0,0,1,0,0,84,1,0,21,3,2,1,27,23
05/11/2020,0,1,1,0,0,195,0,0,16,0,1,2,0,0,0,1,0,0,85,1,0,21,3,2,1,27,23
05/12/2020,0,1,1,0,0,196,0,0,16,0,1,2,0,0,0,1,0,0,85,1,0,21,3,2,1,29,23
05/13/2020,0,1,1,0,0,196,0,0,16,0,1,2,0,0,0,1,0,0,85,1,0,21,3,2,1,29,23
05/14/2020,0,1,1,0,0,199,0,0,16,0,1,2,0,0,0,1,0,0,85,1,0,21,3,3,1,29,23
05/15/2020,0,1,1,0,0,200,0,0,16,0,1,2,0,0,0,1,0,0,85,1,0,21,3,3,1,29,23
05/16/2020,0,1,1,0,0,202,0,0,16,0,1,2,0,0,0,2,0,0,85,1,0,21,3,3,1,29,24
05/17/2020,0,1,1,0,0,204,0,0,16,0,1,2,0,0,0,2,0,0,85,1,0,21,3,3,1,30,25
05/18/2020,0,1,1,0,0,206,0,0,16,0,1,2,0,0,0,2,0,0,85,1,0,22,3,3,1,30,25
05/19/2020,0,1,1,0,0,206,0,0,16,0,1,2,0,0,0,2,0,0,85,1,0,22,3,3,1,30,25
05/20/2020,0,1,1,0,0,207,0,0,16,0,1,2,1,0,1,2,0,0,85,1,0,22,3,3,1,30,25
05/21/2020,0,1,1,0,0,207,0,0,16,0,1,2,1,0,1,2,0,0,85,1,0,22,3,3,1,30,25
05/22/2020,0,1,1,0,0,207,0,0,16,0,2,2,1,0,1,2,0,0,85,1,0,22,3,3,1,31,25
05/23/2020,0,1,2,0,0,207,0,0,16,0,3,2,1,0,2,2,0,0,85,1,0,24,3,3,1,31,25
05/24/2020,0,1,2,0,0,207,0,0,16,0,3,2,1,0,2,2,0,0,85,1,0,24,3,3,1,31,25
05/25/2020,0,1,2,0,0,207,0,0,16,0,3,2,1,0,2,2,0,0,85,1,0,24,3,3,1,31,28
05/26/2020,0,2,2,0,0,210,0,0,16,0,3,2,1,0,2,2,0,0,85,1,0,24,3,3,1,31,28
05/27/2020,0,2,2,0,0,210,0,0,16,0,3,2,1,0,2,3,0,0,85,1,0,24,3,3,1,31,28
05/28/2020,1,2,2,0,0,214,0,0,16,0,3,2,1,0,2,3,0,0,85,1,0,24,3,3,1,32,35
05/29/2020,1,2,2,0,0,216,0,0,16,0,3,2,1,0,2,3,0,0,85,1,0,24,3,3,1,33,38
05/30/2020,1,2,2,0,0,217,0,0,16,0,3,2,1,0,2,3,1,0,85,1,0,25,3,3,1,33,40
05/31/2020,1,2,2,0,0,232,0,0,16,0,3,2,1,0,2,3,1,1,85,1,0,29,3,3,1,33,48
06/01/2020,1,2,2,0,0,235,0,0,16,0,3,2,1,0,2,3,1,1,85,1,0,29,3,3,1,33,52
06/02/2020,1,2,3,0,0,250,0,0,16,0,3,2,1,0,2,3,1,1,85,1,0,29,3,3,1,33,57
06/03/2020,1,2,3,0,0,258,0,0,16,0,3,2,1,0,2,3,1,1,85,1,0,34,3,3,1,33,63
06/04/2020,1,3,13,0,0,263,0,0,16,0,3,2,1,3,2,3,1,1,85,2,0,35,3,3,1,33,68
06/05/2020,1,3,13,0,0,278,0,0,16,0,3,2,0,3,2,3,2,1,86,2,1,35,3,4,1,33,73
06/06/2020,1,3,13,0,0,282,0,0,16,0,3,2,0,3,2,3,2,1,86,2,1,35,3,4,1,33,83
06/07/2020,1,3,13,0,0,289,0,0,16,0,3,2,0,3,2,3,2,1,86,2,1,35,3,4,1,34,84
06/08/2020,1,3,13,1,0,300,0,0,16,0,3,2,0,3,2,3,2,1,86,2,1,37,3,4,1,35,88
06/09/2020,1,3,13,1,1,305,0,1,16,0,4,2,1,3,3,3,2,1,86,2,1,37,3,4,1,35,91
06/10/2020,1,4,13,1,1,314,0,1,16,0,4,2,1,3,3,3,2,1,86,2,1,38,3,4,1,36,101
06/11/2020,1,5,13,1,1,322,0,1,17,0,4,2,3,4,4,3,2,1,89,3,1,40,3,4,1,37,104
06/12/2020,1,9,13,1,1,331,0,1,17,0,4,2,2,4,4,4,2,1,90,3,1,42,3,4,1,38,109
06/13/2020,1,11,13,2,1,339,0,1,20,0,5,4,2,4,4,5,2,1,94,4,2,44,3,4,1,40,115
06/14/2020,1,11,13,2,1,345,0,1,22,0,5,2,3,4,4,5,2,1,98,4,2,45,3,4,1,40,115
06/15/2020,1,11,13,2,2,346,0,1,22,0,5,2,3,4,4,5,2,1,98,4,2,46,3,4,1,40,116
06/16/2020,1,10,13,2,2,354,0,1,22,0,5,2,1,4,4,6,4,1,98,4,2,47,3,4,1,40,120
06/17/2020,2,11,13,3,2,358,0,1,24,0,6,2,1,4,4,6,4,1,104,5,2,49,3,7,1,41,122
06/18/2020,2,12,13,3,2,362,0,1,25,0,6,2,2,4,4,6,5,1,110,5,2,52,3,7,1,42,123
06/19/2020,3,12,14,3,2,370,0,2,25,0,6,2,12,4,4,7,5,1,111,5,2,54,3,7,1,42,124
06/20/2020,3,14,14,3,2,379,0,2,25,0,6,2,13,4,4,7,5,1,119,5,2,55,3,7,2,42,126
06/21/2020,3,14,14,3,2,386,0,2,25,0,6,3,14,4,4,7,5,1,122,5,2,56,3,7,2,42,127
06/22/2020,4,14,14,3,2,389,0,5,25,0,6,3,15,4,4,7,5,1,122,5,2,58,3,7,2,42,127
06/23/2020,4,14,16,6,2,401,0,5,27,0,7,3,9,4,4,8,5,14,125,6,2,60,4,7,2,42,128
06/24/2020,4,14,16,6,2,410,0,5,28,0,7,3,9,4,4,8,5,14,133,7,2,62,4,7,2,42,128
06/25/2020,4,14,18,6,2,420,1,5,28,0,7,3,24,4,4,9,5,14,140,7,2,65,4,7,2,42,134
06/26/2020,4,15,18,8,2,429,1,5,28,0,8,3,10,4,4,10,21,14,143,7,3,70,4,7,2,45,136
06/27/2020,4,15,19,8,2,440,1,5,28,0,8,3,11,4,4,11,21,16,145,7,3,73,4,7,3,47,138
06/28/2020,4,15,20,8,2,455,1,5,29,0,8,3,11,4,4,11,21,17,148,7,3,77,4,11,3,48,141
06/29/2020,4,15,20,8,2,463,1,5,29,0,9,3,11,4,4,11,21,17,150,7,3,81,4,11,3,48,151
06/30/2020,4,17,21,8,2,485,1,5,29,0,9,3,11,4,4,11,26,18,155,7,3,84,4,11,3,48,159
07/01/2020,4,17,21,8,2,504,1,5,30,0,10,3,13,4,5,11,26,18,158,7,3,91,4,14,3,48,164
07/02/2020,4,18,21,8,2,520,1,6,30,0,10,3,13,5,5,11,26,20,161,9,3,105,5,16,3,48,171
07/03/2020,4,18,22,8,2,541,1,6,30,1,11,3,7,5,5,12,41,21,174,9,3,110,5,16,3,49,177
07/04/2020,4,18,24,8,2,577,1,6,30,1,11,3,6,5,5,13,41,21,180,9,3,117,6,16,4,50,178
07/05/2020,4,18,25,8,2,600,1,6,30,1,11,3,7,5,5,13,41,21,183,9,3,118,7,16,4,50,180
07/06/2020,4,18,25,8,2,618,1,6,30,1,11,3,8,5,5,13,41,21,189,9,3,119,7,16,4,51,183
07/07/2020,4,18,26,8,2,633,1,6,31,1,11,3,0,5,5,13,49,21,189,9,3,121,7,16,5,51,185
07/08/2020,4,18,27,8,2,654,1,6,32,2,11,3,2,6,6,13,49,21,196,9,3,124,7,16,5,52,195
07/09/2020,4,18,27,8,2,675,1,6,32,2,12,3,5,6,6,14,49,21,204,10,3,130,8,16,5,52,202
07/10/2020,4,18,27,8,2,698,1,6,32,2,14,3,5,6,6,14,53,21,220,10,3,135,8,16,5,53,209
