date,Cheshire,Merrimack,Sullivan,Carroll,Coos,Rockingham,Strafford,Hillsborough,Grafton,Unknown,Belknap
05/07/2020,41,220,14,35,2,933,172,1308,55,21,42
05/08/2020,43,227,14,36,2,949,175,1375,56,28,42
05/09/2020,43,234,14,36,2,964,183,1404,55,32,44
05/10/2020,43,237,14,37,2,978,192,1438,56,28,46
05/11/2020,43,243,14,37,2,994,196,1496,58,31,46
05/12/2020,44,252,14,37,2,1010,199,1551,57,26,47
05/13/2020,45,256,14,37,2,1021,201,1592,58,26,47
05/14/2020,45,261,14,39,2,1040,215,1624,59,34,49
05/15/2020,47,221,16,39,4,1069,221,1680,61,56,50
05/16/2020,47,278,16,41,4,1095,230,1723,61,10,51
05/17/2020,47,278,16,44,4,1104,232,1747,61,10,53
05/18/2020,48,282,16,44,4,1113,234,1764,62,32,53
05/19/2020,49,283,16,44,4,1138,240,1820,63,11,53
05/20/2020,49,290,16,44,4,1159,242,1932,64,14,54
05/21/2020,50,299,16,46,4,1179,243,1963,66,15,54
05/22/2020,51,307,16,46,4,1199,248,2004,68,17,54
05/23/2020,51,312,17,46,4,1218,253,2049,69,15,55
05/24/2020,52,320,17,46,4,1223,254,2095,69,14,55
05/25/2020,54,321,17,46,4,1230,257,2132,69,12,55
05/26/2020,54,324,17,46,5,1240,259,2149,69,12,56
05/27/2020,54,327,17,46,5,1254,261,2183,72,10,57
05/28/2020,55,331,17,46,5,1277,263,2254,74,10,57
05/29/2020,57,334,19,46,5,1284,267,2342,74,6,58
05/30/2020,57,340,19,47,5,1293,268,2378,75,4,59
05/31/2020,57,342,19,47,5,1306,269,2464,76,6,60
06/01/2020,57,346,19,48,5,1313,269,2486,76,6,60
06/02/2020,57,352,19,48,5,1320,271,2528,76,10,63
06/03/2020,57,353,20,48,5,1336,273,2554,76,10,63
06/04/2020,57,359,20,48,5,1347,278,2614,76,8,64
06/05/2020,57,367,20,48,5,1359,277,2670,76,7,67
06/06/2020,57,371,20,48,5,1378,277,2709,77,10,67
06/07/2020,57,372,20,48,5,1380,277,2731,76,9,68
06/08/2020,59,375,20,48,6,1386,277,2753,76,9,70
06/09/2020,59,380,21,49,6,1393,278,2792,76,8,70
06/10/2020,59,383,24,49,6,1392,278,2833,76,8,70
06/11/2020,60,386,25,49,6,1400,278,2853,76,4,72
06/12/2020,60,390,25,49,6,1406,278,2883,76,5,73
06/13/2020,60,391,25,49,6,1410,278,2925,76,5,74
06/14/2020,60,391,25,49,6,1412,278,2942,76,5,74
06/15/2020,60,392,25,49,6,1416,279,2963,76,5,74
06/16/2020,62,392,24,49,6,1418,279,2981,75,4,74
06/17/2020,63,392,24,49,6,1422,280,3048,75,3,74
06/18/2020,62,392,24,49,6,1424,280,3060,76,1,76
06/19/2020,63,393,24,51,6,1427,281,3087,76,1,77
06/20/2020,64,396,24,51,6,1429,283,3110,76,1,78
06/21/2020,64,396,24,52,6,1436,284,3126,76,2,78
06/22/2020,64,397,24,52,6,1439,285,3134,76,3,78
06/23/2020,64,398,24,52,6,1442,285,3145,76,1,78
06/24/2020,66,400,25,52,6,1443,286,3163,77,2,78
06/25/2020,66,401,27,53,6,1450,288,3187,80,2,78
06/26/2020,67,407,30,53,6,1455,290,3199,83,2,79
06/27/2020,67,408,31,53,6,1465,290,3231,83,2,81
06/28/2020,67,407,31,54,6,1470,291,3254,84,2,81
06/29/2020,69,409,31,54,6,1470,292,3263,84,1,81
06/30/2020,71,410,32,54,7,1474,292,3275,85,1,81
07/01/2020,72,412,33,54,7,1476,292,3288,86,1,81
07/02/2020,72,414,34,61,7,1479,292,3295,86,1,81
07/03/2020,72,417,34,61,7,1489,294,3312,87,2,82
07/04/2020,72,418,35,61,7,1492,295,3322,87,1,81
07/05/2020,73,418,35,60,7,1494,295,3341,88,4,82
07/06/2020,73,419,35,63,9,1495,296,3348,88,3,85
07/07/2020,74,420,35,64,9,1499,295,3361,88,1,86
07/08/2020,74,421,35,64,9,1505,296,3370,90,1,87
07/09/2020,75,422,35,65,9,1505,297,3387,90,1,87
07/10/2020,75,423,35,66,9,1514,298,3391,90,2,88
