date,Baxter,Benton,Columbia,Crittenden,Faulkner,Garland,Grant,Hempstead,Johnson,Lincoln,Little River,Lonoke,Marion,Nevada,Newton,Perry,Pulaski,Sevier,Van Buren,Carroll,Chicot,Clay,Cleveland,Cross,Dallas,Desha,Greene,Howard,Lawrence,Lee,Miller,Montgomery,Ouachita,Pike,Prairie,Saline,Sharp,St. Francis,Stone,Yell,Conway,Fulton,Hot Spring,Independence,Jackson,Madison,Mississippi,Poinsett,Polk,Sebastian,Union,Washington,White,Woodruff,Boone,Bradley,Calhoun,Clark,Crawford,Drew,Franklin,Jefferson,Lafayette,Logan,Monroe,Phillips,Pope,Randolph,Scott,Searcy,Unknown,Ashley,Craighead,Cleburne,Izard,Arkansas
04/16/2020,4,61,4,122,59,105,11,4,18,61,0,30,1,1,1,2,355,8,26,2,7,1,8,7,1,6,6,12,12,3,29,0,5,2,2,36,2,63,7,1,5,0,8,6,1,1,8,9,6,11,19,44,28,1,3,7,0,27,4,6,1,109,5,2,2,4,33,9,1,6,44,11,40,70,2,2
04/17/2020,4,62,4,127,59,107,11,4,20,94,0,30,1,1,2,3,360,8,26,2,7,1,8,8,1,6,6,12,24,3,29,0,5,2,2,37,2,63,7,2,5,0,8,7,1,1,8,10,7,11,20,45,29,1,3,7,0,27,4,6,1,113,5,2,2,4,33,10,1,6,43,11,40,70,2,2
04/18/2020,5,62,5,138,62,107,11,5,21,111,0,26,1,1,2,3,377,9,26,2,7,1,8,8,1,7,8,13,26,3,29,0,5,2,2,43,2,64,7,2,5,0,8,8,1,1,8,10,7,11,24,45,29,1,3,7,0,27,4,6,1,118,4,3,3,4,35,11,1,6,46,11,43,70,2,2
04/19/2020,5,62,5,139,62,107,11,5,22,111,0,26,1,1,2,3,377,9,26,2,7,1,8,8,1,7,8,14,26,3,29,0,5,2,2,43,2,64,7,2,5,0,8,8,1,1,8,10,7,11,24,46,29,1,3,7,0,27,4,6,1,118,4,3,3,4,35,11,1,6,46,11,43,70,2,2
04/20/2020,5,62,5,142,62,108,11,5,22,258,0,26,1,1,2,3,388,10,26,2,7,1,8,8,1,7,8,14,26,3,30,0,5,2,2,45,2,65,7,2,5,0,8,8,1,1,9,10,7,11,26,54,29,1,3,7,0,27,4,6,1,126,4,3,4,4,35,14,1,6,43,12,44,71,2,2
04/21/2020,5,67,5,147,63,109,11,5,22,443,0,27,1,1,2,3,400,10,26,2,7,1,8,9,1,8,9,14,28,3,30,0,5,2,2,46,2,66,7,2,5,0,8,8,1,1,9,11,7,11,26,60,29,1,4,7,0,27,4,6,1,135,4,3,4,4,35,14,1,6,95,13,48,71,2,2
04/22/2020,5,69,5,147,65,109,11,5,25,512,0,28,1,1,2,3,414,10,26,2,7,1,8,9,1,9,13,13,29,3,30,0,5,3,2,48,2,66,7,3,7,0,8,8,1,1,9,13,7,11,28,61,29,1,4,7,0,27,4,8,1,136,4,3,4,4,36,14,1,6,113,13,49,71,2,2
04/23/2020,5,70,5,156,67,109,11,5,26,630,0,30,1,1,3,3,427,10,26,2,7,1,8,11,1,14,13,13,37,3,31,0,5,3,2,51,2,69,7,3,8,1,9,8,1,1,10,13,7,12,29,62,29,1,4,7,0,27,4,10,1,142,6,3,4,4,37,14,1,6,127,13,55,71,2,2
04/24/2020,5,77,6,167,67,110,11,5,26,707,0,31,1,1,3,6,440,10,26,3,7,1,8,11,1,16,14,13,38,3,32,0,5,3,2,54,2,74,7,3,10,1,9,9,1,1,10,14,7,12,30,71,30,1,4,7,0,28,4,13,1,145,6,3,4,4,37,15,1,6,182,13,58,72,3,2
04/25/2020,5,79,5,169,70,111,11,5,26,721,0,33,1,1,3,6,471,11,27,4,8,2,9,11,1,16,14,13,41,3,32,0,5,3,2,54,2,75,7,3,10,1,9,9,1,1,11,14,7,12,32,74,31,1,4,7,0,28,4,13,1,149,6,3,4,4,37,15,1,6,202,13,62,72,3,2
